Invoice_ID;Branch;City;Customer_type;Gender;Product_line;Unit_price;Quantity;Tax;Total;Purchase_Date;Purchase_Time;Payment;cogs;gross_margin_percentage;gross_income;Rating
750-67-8428;A;Yangon;Member;Female;Health and beauty;74.69;7;261.42;5.489.715;01/05/2019;13:08:00;Ewallet;522.83;4.761.904.762;261.42;9.1
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;15.28;5;3.82;80.22;03/08/2019;10:29:00;Cash;76.4;4.761.904.762;3.82;9.6
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;46.33;7;162.16;3.405.255;03/03/2019;13:23:00;Credit card;324.31;4.761.904.762;162.16;7.4
123-19-1176;A;Yangon;Member;Male;Health and beauty;58.22;8;23.29;489.05;1/27/2019;20:33:00;Ewallet;465.76;4.761.904.762;23.29;8.4
373-73-7910;A;Yangon;Normal;Male;Sports and travel;86.31;7;302.09;6.343.785;02/08/2019;10:37:00;Ewallet;604.17;4.761.904.762;302.09;5.3
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;85.39;7;298.87;6.276.165;3/25/2019;18:30:00;Ewallet;597.73;4.761.904.762;298.87;4.1
355-53-5943;A;Yangon;Member;Female;Electronic accessories;68.84;6;20.65;433.69;2/25/2019;14:36:00;Ewallet;413.04;4.761.904.762;20.65;5.8
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;73.56;10;36.78;772.38;2/24/2019;11:38:00;Ewallet;735.6;4.761.904.762;36.78;8
665-32-9167;A;Yangon;Member;Female;Health and beauty;36.26;2;3.63;76.15;01/10/2019;17:15:00;Credit card;72.52;4.761.904.762;3.63;7.2
692-92-5582;B;Mandalay;Member;Female;Food and beverages;54.84;3;8.23;172.75;2/20/2019;13:27:00;Credit card;164.52;4.761.904.762;8.23;5.9
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;14.48;4;2.9;60.82;02/06/2019;18:07:00;Ewallet;57.92;4.761.904.762;2.9;4.5
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;25.51;4;5.1;107.14;03/09/2019;17:03:00;Cash;102.04;4.761.904.762;5.1;6.8
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;46.95;5;117.38;2.464.875;02/12/2019;10:25:00;Ewallet;234.75;4.761.904.762;117.38;7.1
252-56-2699;A;Yangon;Normal;Male;Food and beverages;43.19;10;21.6;453.5;02/07/2019;16:48:00;Ewallet;431.9;4.761.904.762;21.6;8.2
829-34-3910;A;Yangon;Normal;Female;Health and beauty;71.38;10;35.69;749.49;3/29/2019;19:21:00;Cash;713.8;4.761.904.762;35.69;5.7
299-46-1805;B;Mandalay;Member;Female;Sports and travel;93.72;6;28.12;590.44;1/15/2019;16:19:00;Cash;562.32;4.761.904.762;28.12;4.5
656-95-9349;A;Yangon;Member;Female;Health and beauty;68.93;7;241.26;5.066.355;03/11/2019;11:03:00;Credit card;482.51;4.761.904.762;241.26;4.6
765-26-6951;A;Yangon;Normal;Male;Sports and travel;72.61;6;21.78;457.44;01/01/2019;10:39:00;Credit card;435.66;4.761.904.762;21.78;6.9
329-62-1586;A;Yangon;Normal;Male;Food and beverages;54.67;3;82.01;1.722.105;1/21/2019;18:00:00;Credit card;164.01;4.761.904.762;82.01;8.6
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;40.3;2;4.03;84.63;03/11/2019;15:30:00;Ewallet;80.6;4.761.904.762;4.03;4.4
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;86.04;5;21.51;451.71;2/25/2019;11:24:00;Ewallet;430.2;4.761.904.762;21.51;4.8
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;87.98;3;13.2;277.14;03/05/2019;10:40:00;Ewallet;263.94;4.761.904.762;13.2;5.1
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;33.2;2;3.32;69.72;3/15/2019;12:20:00;Credit card;66.4;4.761.904.762;3.32;4.4
636-48-8204;A;Yangon;Normal;Male;Electronic accessories;34.56;5;8.64;181.44;2/17/2019;11:15:00;Ewallet;172.8;4.761.904.762;8.64;9.9
549-59-1358;A;Yangon;Member;Male;Sports and travel;88.63;3;132.95;2.791.845;03/02/2019;17:36:00;Ewallet;265.89;4.761.904.762;132.95;6
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;52.59;8;21.04;441.76;3/22/2019;19:20:00;Credit card;420.72;4.761.904.762;21.04;8.5
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;33.52;1;1.68;35.2;02/08/2019;15:31:00;Cash;33.52;4.761.904.762;1.68;6.7
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87.67;2;8.77;184.11;03/10/2019;12:17:00;Credit card;175.34;4.761.904.762;8.77;7.7
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;88.36;5;22.09;463.89;1/25/2019;19:48:00;Cash;441.8;4.761.904.762;22.09;9.6
848-62-7243;A;Yangon;Normal;Male;Health and beauty;24.89;9;112.01;2.352.105;3/15/2019;15:36:00;Cash;224.01;4.761.904.762;112.01;7.4
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;94.13;5;235.33;4.941.825;2/25/2019;19:39:00;Credit card;470.65;4.761.904.762;235.33;4.8
149-71-6266;B;Mandalay;Member;Male;Sports and travel;78.07;9;351.32;7.377.615;1/28/2019;12:43:00;Cash;702.63;4.761.904.762;351.32;4.5
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;83.78;8;33.51;703.75;01/10/2019;14:49:00;Cash;670.24;4.761.904.762;33.51;5.1
595-11-5460;A;Yangon;Normal;Male;Health and beauty;96.58;2;9.66;202.82;3/15/2019;10:12:00;Credit card;193.16;4.761.904.762;9.66;5.1
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;99.42;4;19.88;417.56;02/06/2019;10:42:00;Ewallet;397.68;4.761.904.762;19.88;7.5
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;68.12;1;3.41;71.53;01/07/2019;12:28:00;Ewallet;68.12;4.761.904.762;3.41;6.8
129-29-8530;A;Yangon;Member;Male;Sports and travel;62.62;5;15.66;328.76;03/10/2019;19:15:00;Ewallet;313.1;4.761.904.762;15.66;7
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;60.88;9;27.4;575.32;1/15/2019;17:17:00;Ewallet;547.92;4.761.904.762;27.4;4.7
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;54.92;8;21.97;461.33;3/23/2019;13:24:00;Ewallet;439.36;4.761.904.762;21.97;7.6
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;30.12;8;12.05;253.01;03/03/2019;13:01:00;Cash;240.96;4.761.904.762;12.05;7.7
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;86.72;1;4.34;91.06;1/17/2019;18:45:00;Ewallet;86.72;4.761.904.762;4.34;7.9
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;56.11;2;5.61;117.83;02/02/2019;10:11:00;Cash;112.22;4.761.904.762;5.61;6.3
354-25-5821;B;Mandalay;Member;Female;Sports and travel;69.12;6;20.74;435.46;02/08/2019;13:03:00;Cash;414.72;4.761.904.762;20.74;5.6
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;98.7;8;39.48;829.08;03/04/2019;20:39:00;Cash;789.6;4.761.904.762;39.48;7.6
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;15.37;2;1.54;32.28;3/16/2019;19:47:00;Cash;30.74;4.761.904.762;1.54;7.2
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93.96;4;18.79;394.63;03/09/2019;18:00:00;Cash;375.84;4.761.904.762;18.79;9.5
370-41-7321;B;Mandalay;Member;Male;Health and beauty;56.69;9;255.11;5.357.205;2/27/2019;17:24:00;Credit card;510.21;4.761.904.762;255.11;8.4
727-46-3608;B;Mandalay;Member;Female;Food and beverages;20.01;9;90.05;1.890.945;02/06/2019;15:47:00;Ewallet;180.09;4.761.904.762;90.05;4.1
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;18.93;6;5.68;119.26;02/10/2019;12:45:00;Credit card;113.58;4.761.904.762;5.68;8.1
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41.32;867.62;3/19/2019;17:08:00;Ewallet;826.3;4.761.904.762;41.32;7.9
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;91.4;7;31.99;671.79;02/03/2019;10:19:00;Cash;639.8;4.761.904.762;31.99;9.5
162-48-8011;A;Yangon;Member;Female;Food and beverages;44.59;5;111.48;2.340.975;02/10/2019;15:10:00;Cash;222.95;4.761.904.762;111.48;8.5
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;17.87;4;3.57;75.05;3/22/2019;14:42:00;Ewallet;71.48;4.761.904.762;3.57;6.5
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;15.43;1;0.77;162.02;1/25/2019;15:46:00;Credit card;15.43;4.761.904.762;0.77;6.1
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1.62;33.94;03/07/2019;11:49:00;Ewallet;32.32;4.761.904.762;1.62;6.5
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;85.98;8;34.39;722.23;2/28/2019;19:01:00;Cash;687.84;4.761.904.762;34.39;8.2
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;44.34;2;4.43;93.11;3/27/2019;11:26:00;Cash;88.68;4.761.904.762;4.43;5.8
635-40-6220;A;Yangon;Normal;Male;Health and beauty;89.6;8;35.84;752.64;02/07/2019;11:28:00;Ewallet;716.8;4.761.904.762;35.84;6.6
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;72.35;10;36.18;759.68;1/20/2019;15:55:00;Cash;723.5;4.761.904.762;36.18;5.4
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9.18;192.84;03/12/2019;20:36:00;Cash;183.66;4.761.904.762;9.18;9.3
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;24.74;3;3.71;77.93;2/15/2019;17:47:00;Credit card;74.22;4.761.904.762;3.71;10
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;55.73;6;16.72;351.1;2/24/2019;10:55:00;Ewallet;334.38;4.761.904.762;16.72;7
347-34-2234;B;Mandalay;Member;Female;Sports and travel;55.07;9;247.82;5.204.115;02/03/2019;13:40:00;Ewallet;495.63;4.761.904.762;247.82;10
199-75-8169;A;Yangon;Member;Male;Sports and travel;15.81;10;7.91;166.01;03/06/2019;12:27:00;Credit card;158.1;4.761.904.762;7.91;8.6
853-23-2453;B;Mandalay;Member;Male;Health and beauty;75.74;4;15.15;318.11;2/14/2019;14:35:00;Cash;302.96;4.761.904.762;15.15;7.6
877-22-3308;A;Yangon;Member;Male;Health and beauty;15.87;10;7.94;166.64;3/13/2019;16:40:00;Cash;158.7;4.761.904.762;7.94;5.8
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33.47;2;3.35;70.29;02/10/2019;15:43:00;Ewallet;66.94;4.761.904.762;3.35;6.7
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97.61;6;29.28;614.94;01/07/2019;15:01:00;Ewallet;585.66;4.761.904.762;29.28;9.9
232-11-3025;A;Yangon;Normal;Male;Sports and travel;78.77;10;39.39;827.09;1/24/2019;10:04:00;Cash;787.7;4.761.904.762;39.39;6.4
382-03-4532;A;Yangon;Member;Female;Health and beauty;18.33;1;0.92;192.47;02/02/2019;18:50:00;Cash;18.33;4.761.904.762;0.92;4.3
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;89.48;10;44.74;939.54;01/06/2019;12:46:00;Credit card;894.8;4.761.904.762;44.74;9.6
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62.12;10;31.06;652.26;02/11/2019;16:19:00;Cash;621.2;4.761.904.762;31.06;5.9
510-95-6347;B;Mandalay;Member;Female;Food and beverages;48.52;3;7.28;152.84;03/05/2019;18:17:00;Ewallet;145.56;4.761.904.762;7.28;4
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;75.91;6;22.77;478.23;03/09/2019;18:21:00;Cash;455.46;4.761.904.762;22.77;8.7
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;74.67;9;336.02;7.056.315;1/22/2019;10:55:00;Ewallet;672.03;4.761.904.762;336.02;9.4
